CNT,ST004D01T,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,HISCED,ICTRES,ESCS,PV1MATH,PV1READ,PV1SCIE
ARG,1.0,1.0,1.0,1.0,1.0,7.0,-1.9901,-0.183,294.094,305.919,322.439
ARG,1.0,2.0,2.0,2.0,1.0,6.0,-2.1653,-1.877,269.995,276.101,276.403
ARG,2.0,1.0,1.0,1.0,1.0,3.0,-0.9865,-1.4542,400.317,374.863,449.207
ARG,2.0,2.0,2.0,2.0,2.0,3.0,-2.3916,-2.2851,422.304,427.267,447.44
ARG,1.0,1.0,1.0,1.0,1.0,10.0,0.2536,1.3985,511.334,501.735,519.775
ARG,2.0,2.0,1.0,2.0,1.0,9.0,-0.7762,0.6002,468.654,440.32,479.506
ARG,1.0,1.0,1.0,1.0,1.0,8.0,-0.3129,0.3841,442.129,454.478,475.759
ARG,1.0,,,,,,,,370.978,355.782,400.891
ARG,2.0,1.0,1.0,1.0,1.0,10.0,0.1736,1.3153,372.582,447.176,444.006
ARG,2.0,2.0,2.0,1.0,1.0,3.0,-1.4028,-2.1442,405.684,315.659,399.098
ARG,2.0,1.0,2.0,1.0,1.0,7.0,-1.4001,-1.0126,319.763,373.242,471.434
ARG,1.0,2.0,2.0,2.0,1.0,8.0,-2.1653,-1.2358,284.067,287.969,233.094
ARG,1.0,1.0,1.0,1.0,1.0,10.0,-0.2932,0.1736,365.549,421.7,421.027
ARG,2.0,2.0,2.0,1.0,1.0,5.0,-1.2596,-1.1045,324.923,346.427,321.764
ARG,2.0,1.0,1.0,1.0,1.0,9.0,1.3015,0.9965,644.44,640.873,592.027
ARG,1.0,1.0,2.0,2.0,1.0,2.0,-2.667,-3.1558,337.613,302.341,373.848
ARG,2.0,1.0,1.0,2.0,1.0,10.0,-1.2027,-0.8977,494.63,403.461,447.428
ARG,1.0,1.0,2.0,2.0,2.0,5.0,-4.1179,-2.3377,303.612,429.508,331.539
ARG,1.0,1.0,1.0,2.0,2.0,6.0,-2.2278,-1.8121,392.659,446.789,384.127
ARG,2.0,1.0,1.0,2.0,1.0,3.0,0.7838,-1.6658,237.094,296.846,281.701
ARG,2.0,1.0,2.0,2.0,2.0,9.0,-1.8864,-0.0241,329.933,286.413,321.464
ARG,1.0,2.0,1.0,2.0,1.0,7.0,-1.7309,-1.3619,354.513,360.798,414.654
ARG,1.0,2.0,1.0,2.0,2.0,3.0,-2.1487,-2.3875,302.11,328.102,333.311
ARG,1.0,1.0,1.0,1.0,1.0,5.0,0.1794,-0.595,415.744,497.099,450.542
ARG,2.0,1.0,2.0,2.0,1.0,3.0,-1.8204,-1.793,343.534,329.235,397.876
ARG,2.0,1.0,2.0,2.0,1.0,2.0,-2.0446,-2.9368,329.405,248.71,379.911
ARG,1.0,2.0,1.0,1.0,1.0,10.0,-0.5987,1.0006,508.455,537.44,521.127
ARG,1.0,1.0,1.0,1.0,1.0,6.0,0.6803,0.5224,497.763,595.591,480.365
ARG,1.0,1.0,1.0,1.0,1.0,10.0,1.4684,1.314,527.935,511.92,577.067
ARG,2.0,1.0,1.0,1.0,1.0,6.0,-1.7412,-0.4059,355.907,278.768,312.168
ARG,2.0,2.0,1.0,1.0,1.0,2.0,-0.6379,-2.3319,388.815,480.69,416.629
ARG,2.0,1.0,1.0,1.0,2.0,9.0,-1.8612,-0.938,307.513,282.646,225.778
ARG,2.0,2.0,1.0,2.0,1.0,9.0,-0.0932,0.3602,415.271,386.482,423.595
ARG,1.0,2.0,2.0,2.0,2.0,1.0,-2.8207,-3.6675,291.426,215.309,265.002
ARG,1.0,1.0,1.0,1.0,1.0,6.0,0.0346,-0.7138,354.182,372.768,361.311
ARG,1.0,2.0,2.0,2.0,2.0,3.0,-2.7067,-2.2686,294.147,293.678,306.295
ARG,2.0,2.0,1.0,1.0,1.0,5.0,0.8703,-0.3498,316.022,289.829,316.212
ARG,1.0,1.0,2.0,2.0,1.0,6.0,-2.5472,-2.0362,347.18,375.923,396.244
ARG,1.0,2.0,1.0,1.0,1.0,8.0,-1.1208,-0.6157,471.326,535.458,502.514
ARG,1.0,2.0,2.0,2.0,1.0,10.0,-2.1648,-0.395,285.992,279.131,308.018
ARG,2.0,1.0,1.0,2.0,1.0,9.0,-0.5825,0.9966,385.191,394.003,460.293
ARG,2.0,1.0,1.0,1.0,1.0,9.0,-0.4497,0.6554,532.535,567.953,518.148
ARG,2.0,2.0,1.0,1.0,1.0,7.0,-0.6378,-0.9866,392.644,287.152,362.333
ARG,1.0,2.0,1.0,1.0,1.0,3.0,1.0161,-1.4728,388.323,405.433,407.478
ARG,1.0,,,,,9.0,-0.688,-0.5614,350.584,378.434,434.326
ARG,1.0,1.0,2.0,1.0,1.0,2.0,-0.9571,-2.5451,304.46,344.321,299.692
